timestamp,object_id,temperature,velocity,altitude,signal_strength,sensor_status,anomaly_flag
2026-03-01 12:10:00,OBJ-001,16.29,7.03,451,0.5061892083657298,DEGRADED,0
2026-03-01 12:40:00,OBJ-001,14.5,7.8,497,0.5639619172711572,DEGRADED,0
2026-03-01 13:25:00,OBJ-004,14.15,7.7,403,0.6892904162953539,DEGRADED,0
2026-03-01 15:10:00,OBJ-003,15.93,7.74,440,0.6257392221707015,DEGRADED,0
2026-03-01 15:50:00,OBJ-004,15.53,7.15,439,0.6708160805828866,DEGRADED,0
2026-03-01 16:50:00,OBJ-005,16.46,7.78,548,0.4175336278874348,DEGRADED,0
2026-03-01 17:15:00,OBJ-002,15.48,7.76,571,0.30241777776674933,DEGRADED,0
2026-03-01 17:25:00,OBJ-002,15.57,7.99,512,0.23303451887815402,DEGRADED,0
2026-03-01 17:30:00,OBJ-001,14.76,7.34,415,0.4805073944749245,DEGRADED,0
2026-03-01 17:45:00,OBJ-002,18.28077696635233,7.08,414,0.5595405810088898,DEGRADED,1
2026-03-01 18:50:00,OBJ-001,INVALID,7.7,598,0.81,OK,0
2026-03-01 19:20:00,OBJ-003,INVALID,7.65,538,0.89,OK,0
2026-03-01 19:30:00,OBJ-003,15.83,7.18,427,0.4719834845889073,DEGRADED,0
2026-03-01 23:10:00,OBJ-001,16.22,7.0,477,0.5326810499028489,DEGRADED,0
2026-03-01 23:30:00,OBJ-003,INVALID,7.45,451,0.73,OK,0
2026-03-01 23:55:00,OBJ-003,INVALID,7.35,577,0.74,OK,1
2026-03-02 00:40:00,OBJ-001,16.05,7.56,517,0.703581833487311,DEGRADED,0
2026-03-02 00:50:00,OBJ-004,INVALID,7.69,444,0.95,OK,0
2026-03-02 01:25:00,OBJ-002,INVALID,7.92,454,0.78,OK,0
2026-03-02 01:35:00,OBJ-005,15.74,7.85,470,0.6119019373745191,DEGRADED,0
2026-03-02 01:50:00,OBJ-004,16.07,7.83,481,0.6215611211512457,DEGRADED,0
2026-03-02 01:55:00,OBJ-002,INVALID,7.77,555,0.95,OK,0
2026-03-02 02:20:00,OBJ-005,18.119564422667587,7.58,473,0.35019132884077214,DEGRADED,1
2026-03-02 02:40:00,OBJ-001,INVALID,7.93,523,0.77,OK,0
2026-03-02 03:20:00,OBJ-003,15.63,7.32,516,0.6908875801535216,DEGRADED,0
2026-03-02 04:10:00,OBJ-003,15.35,7.62,581,0.4730845845019862,DEGRADED,0
2026-03-02 04:30:00,OBJ-003,16.49,7.52,544,0.5113104671841112,DEGRADED,0
2026-03-02 04:50:00,OBJ-002,14.12,7.26,592,0.2637263900185872,DEGRADED,0
2026-03-02 05:25:00,OBJ-005,15.13,7.25,514,0.29547249058132546,DEGRADED,0
2026-03-02 06:25:00,OBJ-004,17.829242076565865,7.7,436,0.6739036324973753,DEGRADED,1
2026-03-02 08:50:00,OBJ-003,14.34,7.8,587,0.3666296494134081,DEGRADED,0
2026-03-02 08:55:00,OBJ-004,INVALID,7.43,518,0.87,OK,1
2026-03-02 09:10:00,OBJ-003,INVALID,7.71,476,0.85,OK,0
2026-03-02 09:35:00,OBJ-001,INVALID,7.72,457,0.89,OK,0
2026-03-02 09:55:00,OBJ-005,15.39,7.79,560,0.47175672763812115,DEGRADED,0
2026-03-02 10:15:00,OBJ-001,INVALID,7.68,497,0.76,OK,0
